Track Name,Artist,Genres,Energy,Acousticness,Danceability,Valence,Loudness,Instrumentalness,Speechiness,Liveness,Tempo
Mañana,Abraxas,,0.778,0.0434,0.476,0.784,-6.842,0.137,0.044,0.254,89.989
Mon autre,Juniore,"french indie pop,french indietronica,french psychedelic",0.907,0.00398,0.576,0.624,-6.403,0.915,0.0423,0.106,164.948
Tocame el culo,Rebe,,0.249,0.822,0.585,0.148,-18.981,0.156,0.035,0.0916,153.308
Bier & Gold,gome,,0.788,0.00954,0.908,0.498,-9.546,6.48e-06,0.14,0.0949,127.011
Lejanía,Lisandro Meza,"cumbia,folclor colombiano,musica andina colombiana,musica popular colombiana,tropical",0.674,0.544,0.601,0.919,-5.446,0,0.0876,0.0798,91.808
Mixed Feelings,NENDA,,0.702,0.136,0.917,0.61,-9.64,0.00345,0.277,0.104,100.077
Ausländer,Rammstein,"alternative metal,german metal,industrial,industrial metal,industrial rock,neue deutsche harte",0.912,0.000757,0.681,0.479,-4.159,0.00136,0.0912,0.359,125.031
Piazza Grande,Lucio Dalla,"canzone d'autore,classic italian pop,italian adult pop",0.539,0.767,0.564,0.522,-6.832,5.78e-05,0.0343,0.209,131.37
A hora é essa,Celia,psicodelia brasileira,0.638,0.633,0.761,0.683,-10.197,0.00184,0.127,0.141,113.437
Cody Was A Tank,DATSKO,,0.493,0.463,0.893,0.817,-14.468,0.036,0.304,0.0764,127.998
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,"madchester,new wave,permanent wave,rock,uk post-punk",0.759,0.028,0.609,0.774,-4.862,0,0.0276,0.183,114.045
Aguila ft. Cumbiafrica,HUGEL,"deep house,edm,pop dance",0.816,0.00304,0.812,0.211,-5.584,0.000128,0.0432,0.112,125.001
BREAK MY SOUL,Beyoncé,"dance pop,pop,r&b",0.887,0.0575,0.687,0.853,-5.04,2.21e-06,0.0826,0.27,114.941
Baila Conmigo,Tiësto,"big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house",0.855,0.00658,0.652,0.0834,-6.411,0.409,0.0775,0.341,127.964
Wasting My Time (Remastered 2019),Klaus Nomi,"dark cabaret,experimental vocal",0.379,0.292,0.821,0.586,-13.57,0.00707,0.07,0.225,113.666
Ojalá me Olvides,Laura Itandehui,nuevo folklore mexicano,0.0738,0.953,0.362,0.16,-15.487,1.67e-06,0.0475,0.0952,81.889
Yesterdays,Luiz Bonfá,"bossa nova,brazilian jazz,jazz guitar,samba-jazz,violao",0.24,0.978,0.426,0.274,-19.137,0.871,0.0388,0.113,82.572
$copie,Die Antwoord,"african rock,south african alternative,south african hip hop",0.456,0.25,0.962,0.726,-9.988,2.3e-05,0.282,0.102,129.98
Vendetta,Young Miko,"trap latino,urbano latino",0.642,0.532,0.854,0.502,-6.393,0,0.214,0.0888,121.912
La Luna en tu Mirada,Los Zafiros,musica tradicional cubana,0.323,0.776,0.497,0.515,-7.62,1e-06,0.0377,0.0901,73.893
Yo no Necesito de Mucho,Laura Itandehui,nuevo folklore mexicano,0.0777,0.889,0.888,0.771,-18.506,0,0.353,0.061,122.747
This Mess We're In,PJ Harvey,"alternative rock,art pop,art rock,chamber psych,indie rock,melancholia,permanent wave,piano rock,rock,singer-songwriter",0.595,0.0282,0.541,0.311,-9.657,0.226,0.028,0.0947,126.327
Flores No Mar (Radio Edit),Populous,"indie electronica,italian electronica,latintronica,pop electronico,puglia indie",0.548,0.0592,0.817,0.56,-9.161,0.59,0.0582,0.09,126.028
Eine Nacht,Belah,"german hip hop,turkish trap pop",0.586,0.182,0.607,0.484,-6.24,0,0.0685,0.0846,99.903
Freak,Doja Cat,"dance pop,pop",0.716,0.0969,0.688,0.373,-5.702,0,0.0385,0.0989,116.912
Where Is My Mind? - Remastered,Pixies,"alternative rock,boston rock,modern rock,permanent wave,rock",0.441,0.0204,0.519,0.25,-14.178,0.000453,0.0353,0.076,81.334
"If You See Her, Say Hello",Bob Dylan,"classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter",0.224,0.768,0.383,0.466,-16.99,0,0.0274,0.087,102.94
Fantasias,Rauw Alejandro,"puerto rican pop,trap latino,urbano latino",0.703,0.143,0.879,0.788,-4.219,0,0.0701,0.0569,94.004
In Da Getto,J Balvin,"reggaeton,reggaeton colombiano,urbano latino",0.72,0.025,0.915,0.631,-3.126,1.42e-05,0.0459,0.0942,126.986
Milano,Calcutta ,"italian indie pop,rome indie",0.289,0.521,0.384,0.0851,-9.746,9.01e-05,0.0358,0.102,133.839
Chau,No Te Va Gustar,"latin alternative,latin rock,reggae uruguayo,rock en espanol,rock uruguayo",0.387,0.136,0.795,0.908,-9.22,0.000746,0.0503,0.664,95.984
El Loco,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.387,0.203,0.687,0.602,-9.842,0.000335,0.0273,0.0913,112.722
I'll Be Around,The Growlers,"garage rock revival,indie garage rock,indie surf",0.904,0.000775,0.485,0.898,-3.48,0,0.0465,0.182,92.067
El Destino,Francisca y Los Exploradores,"argentine indie,latin rock",0.333,0.552,0.538,0.308,-11.342,0.000801,0.0322,0.109,139.703
Better Now,Post Malone,"dfw rap,melodic rap,rap",0.578,0.331,0.68,0.341,-5.804,0,0.04,0.135,145.038
Nuts,David Bowie,"art rock,classic rock,glam rock,permanent wave,rock",0.596,0.00149,0.584,0.533,-17.849,0.832,0.0657,0.48,159.999
Vanille fraise,L'Impératrice,"french indie pop,french indietronica,french synthpop,new french touch",0.547,0.0399,0.767,0.66,-11.458,0.485,0.0474,0.0949,103.03
Deliver Us,Ofra Haza,"classic israeli pop,israeli singer-songwriter,mizrahi,world",0.178,0.728,0.217,0.0925,-16.679,0.0113,0.0383,0.133,73.059
The End of the World,Sharon Van Etten,"art pop,chamber pop,chamber psych,dream pop,indie folk,indie pop,indie rock,melancholia,new jersey indie",0.234,0.793,0.332,0.256,-11.823,0.00375,0.0277,0.187,93.992
41 Mosquitoes Flying In Formation,Tame Impala,"australian psych,neo-psychedelic",0.861,0.447,0.525,0.36,-6.884,0.0304,0.0493,0.107,128.046
La Musica Italiana,Giorgio Poi,"italian indie pop,rome indie",0.44,0.35,0.471,0.31,-6.077,0,0.0379,0.126,169.906
Asesina - Remix,Brytiago,"latin hip hop,reggaeton,reggaeton flow,trap latino,urbano latino",0.69,0.589,0.825,0.516,-4.252,0,0.226,0.413,94.194
Dile al Amor,Aventura,"bachata,bachata dominicana,latin hip hop,latin pop,tropical,urbano latino",0.605,0.0764,0.825,0.944,-9.71,0,0.0376,0.314,124.005
Deusa Do Amor,Moreno Veloso,"bossa nova,mpb,nova mpb",0.188,0.82,0.476,0.602,-16.233,0.0118,0.0428,0.136,159.323
Dettagli - Detalhes,Ornella Vanoni,"classic italian pop,italian adult pop",0.243,0.811,0.468,0.396,-14.554,1.71e-06,0.034,0.198,95.151
Una brava ragazza,Luigi Tenco,"canzone d'autore,classic italian pop,italian adult pop,italian alternative",0.176,0.836,0.519,0.364,-16.151,0,0.0555,0.342,62.279
Ragazza sola,Stefano Rosso,"canzone d'autore,classic italian pop",0.282,0.764,0.529,0.555,-11.923,0,0.232,0.0945,155.535
Onda Su Onda,Bruno Lauzi,"canzone d'autore,canzone genovese,classic italian pop,italian lounge,musica per bambini",0.469,0.491,0.414,0.419,-9.794,0,0.0532,0.599,138.246
Addio a Napoli / Ma come fanno i marinai,Francesco De Gregori,"canzone d'autore,classic italian pop,folk rock italiano,italian adult pop",0.443,0.582,0.396,0.472,-15.151,0,0.0861,0.79,129.329
Per Te,Jovanotti,"classic italian pop,italian adult pop,italian pop",0.228,0.893,0.376,0.54,-12.553,0.00136,0.0408,0.118,88.77
C'Era Una Volta E Ancora C'E',Stefano Rosso,"canzone d'autore,classic italian pop",0.486,0.494,0.603,0.68,-11.926,0,0.053,0.418,83.54
Gli amanti di Roma,Gianmaria Testa,canzone d'autore,0.155,0.907,0.423,0.316,-17.167,0.00118,0.0366,0.113,100.093
Giovanna d'arco,Fabrizio De André,"canzone d'autore,canzone genovese,classic italian pop,folk rock italiano,italian adult pop,musica sarda",0.174,0.913,0.441,0.248,-14.899,0.000741,0.035,0.116,133.397
Non trattare,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.495,0.785,0.477,0.308,-9.681,0.0208,0.0433,0.0752,125.9
Brucia troia,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.725,0.0403,0.366,0.483,-7.234,0,0.0596,0.348,123.56
Dalla parte di Spessotto,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.496,0.212,0.785,0.773,-7.075,0,0.247,0.111,112.501
Moska valza,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.905,0.00827,0.701,0.58,-5.478,0.0257,0.0455,0.275,90.997
Al Colosseo,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.938,0.483,0.407,0.0381,-9.966,0.00142,0.353,0.707,138.141
L'uomo vivo (Inno al gioia),Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.848,0.863,0.406,0.626,-6.246,0.022,0.0762,0.324,138.294
Medusa cha cha cha,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.605,0.596,0.639,0.942,-9.238,2.44e-05,0.206,0.0957,161.714
Nel blu,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.402,0.789,0.324,0.129,-9.988,0.0011,0.057,0.505,133.216
Dove siamo rimasti a terra Nutless,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.256,0.93,0.467,0.281,-11.261,0.00144,0.0343,0.0881,132.488
Pena de l'alma,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.195,0.897,0.487,0.352,-12.429,0,0.0462,0.265,148.692
Lanterne rosse,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.0855,0.875,0.431,0.268,-18.835,0.000291,0.042,0.158,118.973
S.S. dei naufragati,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.319,0.769,0.257,0.199,-15.632,0.000153,0.11,0.283,82.916
Ovunque proteggi,Vinicio Capossela,"canzone d'autore,folk rock italiano,italian adult pop,italian alternative",0.327,0.764,0.642,0.37,-11.728,0.00255,0.0349,0.119,107.11
Mystère Dans Le Brouillard,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.739,0.333,0.58,0.531,-8.89,0.0318,0.0476,0.171,168.152
Los Niños Del Parque,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.981,0.349,0.901,0.629,-5.363,0.15,0.0937,0.111,114.585
Etre Assis Ou Danser,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.96,0.102,0.712,0.97,-5.952,0.52,0.0617,0.057,177.191
Aperitif De La Mort,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.322,0.163,0.449,0.137,-16.507,0.539,0.175,0.088,117.996
Kess Kill Fé Show,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.736,0.0403,0.947,0.864,-9.203,0.0773,0.0356,0.0874,120.592
Peut Être ... Pas,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.918,0.0884,0.862,0.836,-6.851,0.868,0.0522,0.0557,124.853
Avant-Après Mars,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.943,0.0237,0.71,0.692,-7.736,0.661,0.057,0.0822,111.391
El Macho Y La Nena,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.943,0.18,0.794,0.841,-8.485,0.68,0.0572,0.088,111.987
Dupont,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.62,0.349,0.626,0.323,-14.378,0.931,0.0496,0.252,136.12
Liaisons Dangereuses,Liaisons Dangereuses,"dusseldorf electronic,ebm,minimal wave,neue deutsche welle",0.564,0.537,0.552,0.555,-10.271,0.458,0.0333,0.527,179.576
Moliendo Cafe',Los Galanes,,0.34,0.233,0.747,0.382,-15.147,0.0244,0.0696,0.109,109.789
Ma Mujer de Antonio,Los Galanes,,0.334,0.119,0.685,0.309,-14.703,0.00142,0.0811,0.115,100.571
Hasta Siempre Comandante,Los Galanes,,0.266,0.229,0.846,0.577,-15.375,0.00343,0.0374,0.106,109.191
Merecumbe,Los Galanes,,0.293,0.203,0.668,0.566,-17.272,0.00865,0.164,0.143,93.246
Yolanda,Los Galanes,,0.253,0.0741,0.814,0.691,-15.751,0.00104,0.0469,0.0816,118.897
Guantanamera,Los Galanes,,0.286,0.159,0.813,0.735,-15.752,0.0267,0.0442,0.101,115.009
El Bodeguero,Los Galanes,,0.301,0.177,0.927,0.847,-14.658,0.000757,0.0793,0.0963,115.633
Cachita,Los Galanes,,0.364,0.102,0.743,0.444,-15.011,0.00142,0.1,0.122,104.825
Besame Mucho,Los Galanes,,0.194,0.138,0.661,0.211,-18.774,0.056,0.0505,0.109,93.295
Son de la Loma,Los Galanes,,0.324,0.339,0.718,0.62,-16.112,0.002,0.0617,0.12,97.752
Chan Chan,Los Galanes,,0.352,0.139,0.676,0.323,-14.66,0.169,0.0997,0.129,165.068
Gaetano,Calcutta ,"italian indie pop,rome indie",0.483,0.752,0.609,0.254,-7.778,3.96e-06,0.0287,0.264,139.908
Intermezzo 2,Calcutta ,"italian indie pop,rome indie",0.138,0.801,0.16,0.177,-18.614,0.284,0.0473,0.644,171.717
Limonata,Calcutta ,"italian indie pop,rome indie",0.166,0.941,0.561,0.32,-11.29,0,0.117,0.177,63.359
Frosinone,Calcutta ,"italian indie pop,rome indie",0.555,0.153,0.576,0.543,-5.803,0,0.0281,0.343,145.869
Intermezzo 1,Calcutta ,"italian indie pop,rome indie",0.125,0.836,0.513,0.179,-27.885,0.982,0.31,0.218,109.514
Del verde,Calcutta ,"italian indie pop,rome indie",0.21,0.807,0.529,0.13,-9.372,7.16e-05,0.0302,0.164,73.028
Dal verme (feat. Mai Mai Mai),Calcutta ,"italian indie pop,rome indie",0.458,0.0649,0.466,0.038,-13.365,0.369,0.0282,0.268,89.946
Le barche,Calcutta ,"italian indie pop,rome indie",0.233,0.735,0.62,0.491,-10.036,0,0.0427,0.111,124.215
Albero,Calcutta ,"italian indie pop,rome indie",0.41,0.321,0.5,0.134,-9.35,1.12e-05,0.0315,0.176,130.186
Ese Hombre,LA INDIA,"salsa,salsa puertorriquena,tropical",0.72,0.72,0.604,0.664,-9.071,0.000153,0.0818,0.0463,88.228
Vivir Lo Nuestro,LA INDIA,"salsa,salsa puertorriquena,tropical",0.666,0.593,0.61,0.784,-6.661,0,0.0436,0.896,90.803
Dicen Que Soy,LA INDIA,"salsa,salsa puertorriquena,tropical",0.748,0.749,0.659,0.7,-8.864,0.000114,0.0467,0.102,168.751
Si Tú Eres Mi Hombre,LA INDIA,"salsa,salsa puertorriquena,tropical",0.715,0.504,0.415,0.802,-7.043,4.49e-05,0.0377,0.12,89.684
Llego La India,LA INDIA,"salsa,salsa puertorriquena,tropical",0.59,0.61,0.762,0.857,-9.709,0.0831,0.0375,0.0261,148.662
Nunca Voy A Olvidarte,LA INDIA,"salsa,salsa puertorriquena,tropical",0.625,0.649,0.546,0.703,-10.259,0.011,0.0421,0.0767,173.79
Que Ganas De No Verte Nunca Más,LA INDIA,"salsa,salsa puertorriquena,tropical",0.771,0.751,0.651,0.743,-9.194,0.0667,0.0469,0.13,160.432
O Ella O Yo,LA INDIA,"salsa,salsa puertorriquena,tropical",0.745,0.833,0.692,0.874,-8.709,8.25e-06,0.0372,0.0663,159.95
Hielo,LA INDIA,"salsa,salsa puertorriquena,tropical",0.845,0.607,0.42,0.685,-5.836,2.69e-05,0.0683,0.0707,178.981
Fever,Tito Puente & His Latin Ensemble,latin jazz,0.552,0.371,0.638,0.69,-12.354,0.000236,0.0645,0.133,131.494
Descarga Sonora,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.514,0.555,0.595,0.8,-10.575,0.85,0.0432,0.0701,91.777
El Que Usted Conoce No Soy Yo,Rey Caney,musica tradicional cubana,0.875,0.989,0.527,0.901,-3.227,0.609,0.0583,0.258,110.515
La Engañadora,Vicentico Valdés,"bolero,bolero cubano,musica tradicional cubana",0.409,0.764,0.657,0.78,-5.942,1.27e-05,0.0394,0.323,104.76
Las Muchachas (feat. Carlos Argentino),La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.81,0.671,0.527,0.968,-2.971,0,0.19,0.0855,113.996
En El Bajio (feat. Celia Cruz),La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.3,0.25,0.631,0.803,-10.928,9.27e-05,0.0527,0.0695,150.577
Mi Son Tropical,Vicentico Valdés,"bolero,bolero cubano,musica tradicional cubana",0.176,0.986,0.777,0.833,-15.682,0.000227,0.0541,0.194,110.231
Loca (feat. Sonora Matancera),Myrta Silva,musica tradicional cubana,0.665,0.794,0.707,0.971,-8.69,0.342,0.0627,0.0687,110.482
La Esquina Del Movimiento,Nelson Pinedo,musica tradicional cubana,0.576,0.443,0.544,0.965,-8.551,3.99e-05,0.0969,0.075,197.167
Besame Morenita (feat. Sonora Matancera),Nelson Pinedo,musica tradicional cubana,0.385,0.46,0.737,0.928,-11.826,5.21e-05,0.0755,0.102,106.054
Se Me Fue Maria,Billo's,"classic venezuelan pop,cumbia,jazz venezolano,salsa,tropical",0.639,0.697,0.525,0.942,-6.357,0.132,0.125,0.261,185.692
Sopita En Botella,Celia Cruz,"cha-cha-cha,cuban rumba,mambo,musica tradicional cubana,salsa,tropical",0.59,0.607,0.642,0.921,-12.646,0.00283,0.0383,0.421,99.675
Ta Bueno Pa Baila,Tito Puente Y Sus Amigos,,0.603,0.835,0.622,0.916,-17.066,0.113,0.144,0.0605,108.937
Cuban Mambo,Tito Puente,"afro-cuban percussion,jazz puertorriqueno,latin jazz,mambo,salsa",0.503,0.8,0.683,0.77,-16.921,0.789,0.0802,0.104,109.083
Arrollando,Tito Puente,"afro-cuban percussion,jazz puertorriqueno,latin jazz,mambo,salsa",0.886,0.426,0.56,0.785,-5.724,1.53e-06,0.138,0.108,117.022
Guaguanco Tropicana,Tito Puente,"afro-cuban percussion,jazz puertorriqueno,latin jazz,mambo,salsa",0.215,0.641,0.68,0.778,-24.256,0,0.0578,0.137,91.205
Margarita (feat. Sonora Matancera),Tony Alvarez,,0.499,0.623,0.68,0.959,-7.649,0,0.047,0.0753,129.477
Ataca Vicente,Vicentico Valdés,"bolero,bolero cubano,musica tradicional cubana",0.742,0.789,0.796,0.897,-4.678,0.000238,0.0432,0.0832,93.397
No Quiero Nada (feat. Sonora Matancera),Victor Piñero,,0.608,0.796,0.737,0.908,-6.396,0.0177,0.0608,0.0534,103.756
Vive La Vida Hoy,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.461,0.902,0.583,0.826,-11.008,0.0599,0.0321,0.0635,154.932
Noche De Farra (feat. Sonora Matancera),Wuelfo,,0.478,0.774,0.621,0.963,-11.436,4.11e-05,0.0492,0.0797,141.36
Mambo No. 8,Pérez Prado,"mambo,space age pop",0.809,0.446,0.54,0.841,-6.35,0.00196,0.113,0.281,142.57
Mambo No. 5,Pérez Prado,"mambo,space age pop",0.695,0.572,0.78,0.849,-7.635,0.196,0.259,0.0301,92.615
Que Rico El Mambo,Pérez Prado,"mambo,space age pop",0.66,0.724,0.735,0.663,-8.501,0.107,0.107,0.185,106.956
Mambo A La Kenton,Pérez Prado,"mambo,space age pop",0.699,0.846,0.408,0.923,-10.426,0.943,0.127,0.118,154.143
La Nina Popof,Pérez Prado,"mambo,space age pop",0.876,0.126,0.555,0.892,-5.617,0.443,0.067,0.275,144.882
Patricia,Pérez Prado,"mambo,space age pop",0.483,0.435,0.727,0.752,-6.815,0.864,0.0372,0.0708,122.948
Norma De Guadalajara,Pérez Prado,"mambo,space age pop",0.575,0.356,0.326,0.67,-5.421,0.752,0.0661,0.377,197.116
El Taconazo,Pérez Prado,"mambo,space age pop",0.824,0.243,0.664,0.871,-6.772,0.0299,0.0462,0.349,128.33
Mambo Del Amor,Pérez Prado,"mambo,space age pop",0.652,0.823,0.251,0.589,-5.854,0.807,0.0772,0.16,191.763
Te Comtoneas,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.342,0.818,0.702,0.605,-8.114,0.00975,0.0424,0.0767,127.197
Los Aretes De La Luna,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.332,0.982,0.586,0.815,-9.793,0.08,0.0482,0.262,98.731
Sabor A Ti,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.265,0.962,0.576,0.537,-10.105,0.0139,0.0301,0.218,98.792
Tu Hablas De Mi,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.376,0.897,0.552,0.676,-8.529,0.00928,0.0272,0.382,99.596
Quemame Los Ojos,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.376,0.511,0.543,0.602,-9.748,4.92e-06,0.0825,0.313,113.536
Las Muchachas,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.503,0.489,0.563,0.961,-8.718,0,0.0768,0.144,111.283
Micaela,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.386,0.563,0.751,0.955,-11.625,0.047,0.0397,0.0834,110.642
Un Poquito De Carino,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.312,0.567,0.533,0.805,-10.008,1.09e-05,0.0432,0.0602,139.198
En La Orilla Del Mar,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.26,0.756,0.458,0.632,-11.897,0.281,0.0384,0.306,112.296
Bonifacio,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.609,0.881,0.672,0.962,-7.525,0.000286,0.0416,0.307,86.778
Por Un Caprichito,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.303,0.931,0.622,0.691,-10.826,0.657,0.034,0.124,107.096
Estas Como Mango,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.59,0.893,0.644,0.813,-8.79,0.316,0.0853,0.09,147.213
Tu Precio,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.382,0.844,0.593,0.75,-8.396,0.0126,0.0271,0.318,98.164
Guanaco En La Timba,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.577,0.85,0.633,0.907,-8.87,0.0606,0.0486,0.0451,103.929
Sun Sun,La Sonora Matancera,"bolero,cumbia,latin jazz,mambo,musica tradicional cubana,salsa,tropical",0.449,0.952,0.761,0.912,-8.942,0.0521,0.0508,0.296,121.708
Silbando Mambo,Pérez Prado,"mambo,space age pop",0.518,0.455,0.8,0.712,-7.128,0.658,0.0348,0.0333,113.356
Lupita,Pérez Prado,"mambo,space age pop",0.759,0.574,0.883,0.584,-8.712,0.432,0.0829,0.099,106.228
Cerezo Rosa,Pérez Prado,"mambo,space age pop",0.5,0.727,0.507,0.563,-8.613,0.878,0.0312,0.131,105.949
Mambo Ni Hablar,Pérez Prado,"mambo,space age pop",0.938,0.0675,0.837,0.544,-5.11,0.00149,0.208,0.769,106.466
Maria Bonita,Pérez Prado,"mambo,space age pop",0.593,0.455,0.697,0.629,-6.09,0.89,0.037,0.36,106.845
El Ruletero,Pérez Prado,"mambo,space age pop",0.762,0.252,0.827,0.787,-6.013,0.0177,0.0661,0.339,121.413
Borro Cassette,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.701,0.132,0.73,0.785,-5.885,0,0.106,0.151,175.95
¿Dónde Estás? (feat. Farruko),Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.75,0.0817,0.733,0.898,-3.571,1.46e-05,0.0774,0.446,172.025
El Perdedor,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.73,0.425,0.702,0.879,-5.173,1.25e-06,0.099,0.148,173.967
Me Gustas,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.772,0.258,0.637,0.711,-5.358,6.61e-05,0.0849,0.182,179.968
Sin Contrato,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.866,0.111,0.748,0.839,-3.41,0,0.057,0.0727,96.037
Una Aventura (feat. Alexis & Fido),Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.73,0.225,0.831,0.492,-3.714,0,0.0573,0.0679,94.009
Tengo un Amor (feat. Leslie Grace),Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.824,0.556,0.67,0.915,-4.544,0,0.0493,0.312,134.022
Pretextos (feat. Cosculluela),Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.712,0.253,0.829,0.644,-4.959,0,0.135,0.168,86.979
Ya No Es Niña,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.667,0.191,0.686,0.834,-6.457,0,0.0675,0.11,173.969
Solos (feat. El Micha),Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.67,0.131,0.527,0.732,-5.923,0,0.311,0.277,169.702
Tu Cariño (feat. Arcángel),Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.679,0.365,0.748,0.718,-3.629,2.37e-05,0.205,0.11,176.021
Recuérdame,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.718,0.0793,0.713,0.661,-3.66,0,0.0518,0.06,174.057
La Misma Moneda,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.693,0.239,0.698,0.775,-5.569,0,0.0983,0.0665,179.994
Vuelo Hacia el Olvido,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.351,0.888,0.396,0.475,-10.688,1.15e-05,0.0494,0.313,81.661
El Tiki,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.829,0.00809,0.819,0.717,-3.416,0.000424,0.0603,0.144,91.993
Carnaval,Maluma,"reggaeton,reggaeton colombiano,urbano latino",0.89,0.0553,0.75,0.783,-4.0,0,0.0585,0.112,130.017
Maracaibo Oriental,Beny Moré,"bolero,bolero cubano,latin jazz,mambo,musica tradicional cubana",0.862,0.67,0.502,0.843,-5.501,4.56e-05,0.0496,0.762,107.906
Soy Campesino,Beny Moré,"bolero,bolero cubano,latin jazz,mambo,musica tradicional cubana",0.831,0.805,0.42,0.777,-6.102,0,0.0404,0.867,136.06
No Hay Tierra Como La Mia,Beny Moré,"bolero,bolero cubano,latin jazz,mambo,musica tradicional cubana",0.776,0.916,0.339,0.783,-6.339,1.4e-05,0.0448,0.582,85.485
Buscando Melodia,Beny Moré,"bolero,bolero cubano,latin jazz,mambo,musica tradicional cubana",0.552,0.975,0.425,0.58,-6.681,0.0209,0.0521,0.128,115.311
Soy Del Monte,Beny Moré,"bolero,bolero cubano,latin jazz,mambo,musica tradicional cubana",0.865,0.918,0.548,0.843,-5.856,0,0.106,0.894,91.399
